simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
2317,True,10.0,9753.099120283323,3180.3776327994747,3180.3776327994747,4038.7799375553673
2318,True,28.0,9323.938199059472,3863.5276374692858,3863.5276374692858,4587.590727456112
2319,True,21.0,9488.543210558004,3455.5684753165474,3455.5684753165474,4226.641477896115
2320,True,12.0,9704.455335485078,3282.5914750795373,3282.5914750795373,3999.7901034830693
2321,True,11.0,9728.746825534536,3071.043711593197,3071.043711593197,3892.4300492664847
2322,True,18.0,9559.974818330991,3347.850292521742,3347.850292521742,4089.3279766101396
2323,True,23.0,9441.218903864214,3345.089316832311,3329.480731089697,4287.360444636381
2324,True,11.0,9728.746825534536,3011.873852736977,2915.1163019285063,3837.4139887462234
2325,True,27.0,9347.277206160265,3952.2173301542043,3952.2173301542043,4538.552243050809
2326,True,21.0,9488.543210558004,4052.7913976448795,3986.2880092632695,4475.741490600015
2327,True,18.0,9559.974818330991,2984.5770686591536,2875.0707733671206,3901.649498995599
2328,True,14.0,9656.05416257566,2808.55375268968,2725.0435026129944,3741.9523794792008
2329,True,10.0,9753.099120283323,2549.8789216345012,2549.8789216345012,3650.1567829979244
2330,True,20.0,9512.294245007133,4158.252765932672,3835.2418097298223,4413.77493202429
2331,True,20.0,9512.294245007133,3948.102417461017,3845.628442691649,4318.999656881262
2332,True,15.0,9631.944177208212,2592.3437305530715,2592.3437305530715,3756.1710235056757
2333,True,13.0,9680.224498313057,3629.163795081893,3629.163795081893,4260.768233790388
2334,True,21.0,9488.543210558004,3262.791169753944,3257.84160305807,4386.0499452508475
2335,True,12.0,9704.455335485078,2987.16966215697,2945.620949980186,3859.976649418697
2336,True,15.0,9631.944177208212,3260.687891158059,3225.8527188214057,4054.105006762503
2337,True,12.0,9704.455335485078,3758.751812897738,3641.2642375130276,4196.8808151735975
2338,True,17.0,9583.904655209462,3081.8975771159453,3066.4031331403366,4005.360007952045
2339,True,11.0,9728.746825534536,3012.629454805059,3012.629454805059,3888.342486763307
2340,True,19.0,9536.104731326255,3731.090562588344,3731.090562588344,4338.561842408121
2341,True,11.0,9728.746825534536,2484.251427372702,2484.251427372702,3693.0838067260165
2342,True,19.0,9536.104731326255,4005.5169220031707,4005.5169220031707,4448.931113738441
2343,True,11.0,9728.746825534536,2795.73153622171,2795.73153622171,3815.4118180457876
2344,True,14.0,9656.05416257566,3040.746150253634,2922.6113555602265,3937.1984969924138
2345,True,10.0,9753.099120283323,2671.5687400465104,2671.5687400465104,3769.8795886712496
2346,True,12.0,9704.455335485078,3051.5226859949103,3051.5226859949103,4055.294475501597
2347,True,19.0,9536.104731326255,2627.112949655148,2627.112949655148,3874.6823250525263
2348,True,10.0,9753.099120283323,2133.854891184955,2125.224498013232,3497.1191501322373
2349,True,11.0,9728.746825534536,2971.4145100063006,2971.4145100063006,3827.411207916803
2350,True,11.0,9728.746825534536,2701.071219431127,2701.071219431127,3674.799381093894
2351,True,13.0,9680.224498313057,4005.4824759181183,3893.8124660664316,4238.2959831887365
2352,True,17.0,9583.904655209462,3254.4595376465463,3236.410800869091,4056.4527400300126
2353,True,17.0,9583.904655209462,3900.1043038689636,3899.9265605946125,4394.691806959426
2354,True,15.0,9631.944177208212,2490.3985133954084,2490.3985133954084,3859.683163040013
2355,True,14.0,9656.05416257566,2912.5148996296257,2902.086412202806,3969.8850715553685
2356,True,25.0,9394.130628134748,3760.2773713815272,3760.2773713815272,4562.974572577457
2357,True,16.0,9607.894391523227,3369.881648845297,3337.974237971734,4152.623404369943
2358,True,28.0,9323.938199059472,4217.323052445873,3966.7838094510275,4528.600922097538
2359,True,19.0,9536.104731326255,3438.35344291375,3438.35344291375,4161.359866383426
2360,True,7.0,9826.522356650728,2692.390279491751,2692.390279491751,3569.146870873195
2361,True,27.0,9347.277206160265,3615.9974849960186,3615.9974849960186,4464.12566633035
2362,True,26.0,9370.674633774024,3162.367287365579,3162.367287365579,4332.075917097301
2363,True,7.0,9826.522356650728,3188.897669016135,3188.897669016135,3911.6937270800386
2364,True,14.0,9656.05416257566,3147.537268730198,3147.537268730198,4019.3490291007142
2365,True,35.0,9162.188716508763,3296.642245157256,3224.9894789166055,4368.359266760472
2366,True,13.0,9680.224498313057,3709.4642237660105,3705.806581733208,4272.83218233556
2367,True,33.0,9208.114378568032,3411.682971000365,3411.682971000365,4495.708513989908
2368,True,37.0,9116.492109644603,3852.792136532906,3852.792136532906,4695.152826569228
2369,True,13.0,9680.224498313057,3171.774897509035,3171.774897509035,4046.731726035877
